2021:06:01 11:15:55,106.05,111.4,104.0,110.9,5000,"{'open': 220.0, 'high': 224.95, 'low': 103.3, 'close': 192.7}"
2021:06:01 11:17:22,110.95,121.0,110.85,115.95,6675,"{'open': 220.0, 'high': 224.95, 'low': 103.3, 'close': 192.7}"
2021:06:01 11:18:48,115.8,117.45,112.55,112.55,5225,"{'open': 220.0, 'high': 224.95, 'low': 103.3, 'close': 192.7}"
2021:06:01 11:20:19,112.55,115.3,112.35,113.75,3975,"{'open': 220.0, 'high': 224.95, 'low': 103.3, 'close': 192.7}"
2021:06:01 11:21:53,113.75,116.6,108.6,110.65,6050,"{'open': 220.0, 'high': 224.95, 'low': 103.3, 'close': 192.7}"
2021:06:01 11:23:27,111.0,118.7,109.15,118.7,4600,"{'open': 220.0, 'high': 224.95, 'low': 103.3, 'close': 192.7}"
2021:06:01 11:25:01,118.5,120.15,115.0,118.4,5800,"{'open': 220.0, 'high': 224.95, 'low': 103.3, 'close': 192.7}"
2021:06:01 11:26:31,119.15,122.7,116.15,120.0,4450,"{'open': 220.0, 'high': 224.95, 'low': 103.3, 'close': 192.7}"
2021:06:01 11:28:07,119.8,120.55,115.75,116.3,5325,"{'open': 220.0, 'high': 224.95, 'low': 103.3, 'close': 192.7}"
2021:06:01 11:29:37,116.3,121.45,116.3,121.25,5375,"{'open': 220.0, 'high': 224.95, 'low': 103.3, 'close': 192.7}"
2021:06:01 11:31:07,121.65,124.8,119.45,120.45,6850,"{'open': 220.0, 'high': 224.95, 'low': 103.3, 'close': 192.7}"
2021:06:01 11:32:41,120.95,121.25,116.5,118.8,4300,"{'open': 220.0, 'high': 224.95, 'low': 103.3, 'close': 192.7}"
2021:06:01 11:34:12,118.8,119.95,115.6,116.45,4125,"{'open': 220.0, 'high': 224.95, 'low': 103.3, 'close': 192.7}"
2021:06:01 11:35:45,116.45,117.65,110.6,112.55,4150,"{'open': 220.0, 'high': 224.95, 'low': 103.3, 'close': 192.7}"
2021:06:01 11:37:15,112.55,114.25,109.35,109.85,4300,"{'open': 220.0, 'high': 224.95, 'low': 103.3, 'close': 192.7}"
2021:06:01 11:38:50,109.6,112.8,108.15,108.35,7075,"{'open': 220.0, 'high': 224.95, 'low': 103.3, 'close': 192.7}"
2021:06:01 11:40:22,107.75,109.85,103.05,105.4,4025,"{'open': 220.0, 'high': 224.95, 'low': 101.0, 'close': 192.7}"
2021:06:01 11:41:55,105.35,109.4,105.15,106.4,4100,"{'open': 220.0, 'high': 224.95, 'low': 101.0, 'close': 192.7}"
2021:06:01 11:43:30,106.4,108.3,105.3,107.25,5300,"{'open': 220.0, 'high': 224.95, 'low': 101.0, 'close': 192.7}"
2021:06:01 11:45:03,105.9,107.2,103.15,103.45,4675,"{'open': 220.0, 'high': 224.95, 'low': 101.0, 'close': 192.7}"
2021:06:01 11:46:35,103.45,108.7,101.65,101.75,4375,"{'open': 220.0, 'high': 224.95, 'low': 101.0, 'close': 192.7}"
2021:06:01 11:48:06,101.7,101.7,95.7,99.45,5125,"{'open': 220.0, 'high': 224.95, 'low': 95.55, 'close': 192.7}"
2021:06:01 11:49:37,98.5,102.5,96.9,101.45,4600,"{'open': 220.0, 'high': 224.95, 'low': 95.55, 'close': 192.7}"
2021:06:01 11:51:06,100.9,102.0,97.6,99.1,5450,"{'open': 220.0, 'high': 224.95, 'low': 95.55, 'close': 192.7}"
2021:06:01 11:52:36,98.75,103.0,98.75,101.4,5350,"{'open': 220.0, 'high': 224.95, 'low': 95.55, 'close': 192.7}"
