bse_symbol,nse_symbol
INDBANK,INDBANK
CAPITALT,CAPTRUST
TIMESGTY,TIMESGTY
DCMFINSERV,DCMFINSERV
JIKIND,JIKIND
SAMBHAAV,SAMBHAAV
GICHSGFIN,GICHSGFIN
VIPUL,VIPULLTD
MUTHTFN,MUTHOOTCAP
UPL,UPL
SIGNETIND,SIGIND
SECURKLOUD,SECURKLOUD
SUNTECK,SUNTECK
JAICORPLTD,JAICORPLTD
BHAGYNAGAR,BHAGYANGR
DONEAR,DONEAR
SEQUENT,SEQUENT
STCINDIA,STCINDIA
ZENITHEXPO,ZENITHEXPO
AVANTI,AVANTIFEED
ZODJRDMKJ,ZODJRDMKJ
KEYFINSER,KEYFINSERV
ADANIENT,ADANIENT
BHANDHOS,BHANDARI
ORBTEXP,ORBTEXP
TATASTLLP,TATASTLLP
NBVENTURES*,NBVENTURES
GANDHITUBE,GANDHITUBE
ORICON,ORICONENT
UTTAMSTL,UTTAMSTL
PENIND,PENIND
JYOTISTRUC,JYOTISTRUC
SSWL,SSWL
MANINDS,MANINDS
METALFORGE,METALFORGE
GRANDFONRY,GFSTEELS
AJMERA,AJMERA
CARBORUNIV,CARBORUNIV
MMTC,MMTC
SMPL,SMPL
TATAMETALI,TATAMETALI
JSWISPL,JSWISPL
KALYANIFRG,KALYANIFRG
PITTIENG,PITTIENG
MAHASTEEL,MAHASTEEL
HINDCOPPER,HINDCOPPER
SRIPIPES,SRIPIPES
NLCINDIA,NLCINDIA
JMTAUTOLTD,JMTAUTOLTD
AROGRANITE,AROGRANITE
JBFIND,JBFIND
HIMATSEIDE,HIMATSEIDE
BSL,BSL
TTL,TTL
WELSPUNIND,WELSPUNIND
GANECOS,GANECOS
VARDMNPOLY,VARDMNPOLY
SUMEETINDS,SUMEETINDS
SANGAMIND,SANGAMIND
AARVEEDEN,AARVEEDEN
ASHIMASYN,ASHIMASYN
PIONEEREMB,PIONEEREMB
PATSPINLTD,PATSPINLTD
PREMIERPOL,PREMIERPOL
ASAHIINDIA,ASAHIINDIA
MURUDCERA,MURUDCERA
ANANTRAJ,ANANTRAJ
MADHAV,MADHAV
HINDNATGLS,HINDNATGLS
MANGTIMBER,MANGTIMBER
SHREYANIND,SHREYANIND
STARPAPER,STARPAPER
ARROWGREEN,ARROWGREEN
VISHNU,VISHNU
NRAGRINDQ,NRAIL
3PLAND,3PLAND
VINDHYATEL,VINDHYATEL
ADORWELD,ADORWELD
SALZER,SALZERELEC
USHAMART,USHAMART
SUBROS,SUBROS
HONAUT,HONAUT
LUMAXIND,LUMAXIND
DIGISPICE,DIGISPICE
PAEL,PAEL
HBLPOWER,HBLPOWER
S&SPOWER,S&SPOWER
GIPCL,GIPCL
CMI,CMICABLES
MOTHERSUMI,MOTHERSUMI
MINDTECK,MINDTECK
HAVELLS,HAVELLS
IGARASHI,IGARASHI
SYMPHONY,SYMPHONY
SHYAMTEL,SHYAMTEL
BUTTERFLY,BUTTERFLY
RSSOFTWARE,RSSOFTWARE
WEBELSOLAR,WEBELSOLAR
TTKPRESTIG,TTKPRESTIG
RAJGLOWIR,RAJRATAN
SURANAT&P,SURANAT&P
ONWARDTEC,ONWARDTEC
CENTUM,CENTUM
TRIGYN,TRIGYN
KEI,KEI
INDLMETER,INDLMETER
GSCLCEMENT,GSCLCEMENT
APCL,APCL
TASTYBIT,TASTYBITE
AVTNPL,AVTNPL
