instrument_token_x,exchange_token_x,tradingsymbol_x,name,last_price_x,expiry_x,strike_x,tick_size_x,lot_size_x,instrument_type_x,segment_x,exchange_x,instrument_token_y,exchange_token_y,tradingsymbol_y,last_price_y,expiry_y,strike_y,tick_size_y,lot_size_y,instrument_type_y,segment_y,exchange_y
2393089,9348,IOB,INDIAN OVERSEAS BANK,0.0,,0.0,0.05,1,EQ,NSE,NSE,136291332,532388,IOB,0.0,,0.0,0.05,1,EQ,BSE,BSE
1276417,4986,IRCON,IRCON INTERNATIONAL,0.0,,0.0,0.05,1,EQ,NSE,NSE,138740740,541956,IRCON,0.0,,0.0,0.05,1,EQ,BSE,BSE
4574465,17869,JSWENERGY,JSW ENERGY,0.0,,0.0,0.05,1,EQ,NSE,NSE,136485892,533148,JSWENERGY,0.0,,0.0,0.05,1,EQ,BSE,BSE
3041281,11880,JSWHL,JSW HOLDINGS,0.0,,0.0,0.05,1,EQ,NSE,NSE,136356356,532642,JSWHL,0.0,,0.0,0.05,1,EQ,BSE,BSE
828673,3237,JTEKTINDIA,JTEKT INDIA,0.0,,0.0,0.05,1,EQ,NSE,NSE,133134596,520057,JTEKTINDIA,0.0,,0.0,0.05,1,EQ,BSE,BSE
4632577,18096,JUBLFOOD,JUBILANT FOODWORKS,0.0,,0.0,0.05,1,EQ,NSE,NSE,136487684,533155,JUBLFOOD,0.0,,0.0,0.05,1,EQ,BSE,BSE
931073,3637,JUBLPHARMA,JUBILANT PHARMOVA,0.0,,0.0,0.05,1,EQ,NSE,NSE,135684868,530019,JUBLPHARMA,0.0,,0.0,0.05,1,EQ,BSE,BSE
3085313,12052,JUMPNET,JUMP NETWORKS,0.0,,0.0,0.05,1,EQ,NSE,NSE,136022276,531337,JUMPNET,0.0,,0.0,0.01,1,EQ,BSE,BSE
3877377,15146,JYOTHYLAB,JYOTHY LABS,0.0,,0.0,0.05,1,EQ,NSE,NSE,136429060,532926,JYOTHYLAB,0.0,,0.0,0.05,1,EQ,BSE,BSE
3407361,13310,KEI,KEI INDUSTRIES.,0.0,,0.0,0.05,1,EQ,NSE,NSE,132497668,517569,KEI,0.0,,0.0,0.05,1,EQ,BSE,BSE
4870401,19025,KIRLOSIND,KIRLOSKAR INDUSTRIES,0.0,,0.0,0.05,1,EQ,NSE,NSE,128062212,500243,KIRLOSIND,0.0,,0.0,0.05,1,EQ,BSE,BSE
2478849,9683,KPITTECH,KPIT TECHNOLOGIES,0.0,,0.0,0.05,1,EQ,NSE,NSE,138918660,542651,KPITTECH,0.0,,0.0,0.05,1,EQ,BSE,BSE
498945,1949,KSB,KSB,0.0,,0.0,0.05,1,EQ,NSE,NSE,128063748,500249,KSB,0.0,,0.0,0.05,1,EQ,BSE,BSE
1640193,6407,LAMBODHARA,LAMBODHARA TEXTILES.,0.0,,0.0,0.05,1,EQ,NSE,NSE,151059204,590075,LAMBODHARA,0.0,,0.0,0.05,1,EQ,BSE,BSE
416513,1627,LINDEINDIA,LINDE INDIA,0.0,,0.0,0.05,1,EQ,NSE,NSE,134004996,523457,LINDEINDIA,0.0,,0.0,0.05,1,EQ,BSE,BSE
2939649,11483,LT,LARSEN & TOUBRO.,0.0,,0.0,0.05,1,EQ,NSE,NSE,128130564,500510,LT,0.0,,0.0,0.05,1,EQ,BSE,BSE
3499777,13671,MADHUCON,MADHUCON PROJECTS.,0.0,,0.0,0.05,1,EQ,NSE,NSE,136063236,531497,MADHUCON,0.0,,0.0,0.01,1,EQ,BSE,BSE
2912513,11377,MAHABANK,BANK OF MAHARASHTRA,0.0,,0.0,0.05,1,EQ,NSE,NSE,136326404,532525,MAHABANK,0.0,,0.0,0.05,1,EQ,BSE,BSE
2639361,10310,MAJESCO,MAJESCO,0.0,,0.0,0.05,1,EQ,NSE,NSE,138057988,539289,MJCO,0.0,,0.0,0.05,1,EQ,BSE,BSE
3890945,15199,MANAKSIA,MANAKSIA.,0.0,,0.0,0.05,1,EQ,NSE,NSE,136430596,532932,MANAKSIA,0.0,,0.0,0.05,1,EQ,BSE,BSE
4879617,19061,MANAPPURAM,MANAPPURAM FINANCE,0.0,,0.0,0.05,1,EQ,NSE,NSE,135990532,531213,MANAPPURAM,0.0,,0.0,0.05,1,EQ,BSE,BSE
2815745,10999,MARUTI,MARUTI SUZUKI INDIA.,0.0,,0.0,0.05,1,EQ,NSE,NSE,136320004,532500,MARUTI,0.0,,0.0,0.05,1,EQ,BSE,BSE
4615425,18029,MBLINFRA,MBL INFRASTRUCTURES,0.0,,0.0,0.05,1,EQ,NSE,NSE,136486916,533152,MBLINFRA,0.0,,0.0,0.05,1,EQ,BSE,BSE
3753473,14662,MCDHOLDING,MCDOWELL HOLDINGS.,0.0,,0.0,0.05,1,EQ,NSE,NSE,136410116,532852,MCDHOLDING,0.0,,0.0,0.05,1,EQ,BSE,BSE
3057409,11943,MCLEODRUSS,MCLEOD RUSSEL INDIA.,0.0,,0.0,0.05,1,EQ,NSE,NSE,136359428,532654,MCLEODRUSS,0.0,,0.0,0.05,1,EQ,BSE,BSE
3623425,14154,MINDAIND,MINDA INDUSTRIES.,0.0,,0.0,0.05,1,EQ,NSE,NSE,136329988,532539,MINDAIND,0.0,,0.0,0.05,1,EQ,BSE,BSE
1718529,6713,MOLDTKPAC,MOLD-TEK PACKAGING,0.0,,0.0,0.05,1,EQ,NSE,NSE,136468484,533080,MOLDTKPAC,0.0,,0.0,0.05,1,EQ,BSE,BSE
3763713,14702,NAGREEKEXP,NAGREEKA EXPORTS.,0.0,,0.0,0.05,1,EQ,NSE,NSE,133403908,521109,NAGREEKEXP,0.0,,0.0,0.05,1,EQ,BSE,BSE
3696641,14440,NAHARSPING,NAHAR SPINNING MILLS.,0.0,,0.0,0.05,1,EQ,NSE,NSE,128075780,500296,NAHARSPING,0.0,,0.0,0.05,1,EQ,BSE,BSE
1003009,3918,NATCOPHARM,NATCO PHARMA.,0.0,,0.0,0.05,1,EQ,NSE,NSE,134352900,524816,NATCOPHARM,0.0,,0.0,0.05,1,EQ,BSE,BSE
610561,2385,NAVNETEDUL,NAVNEET EDUCATION,0.0,,0.0,0.05,1,EQ,NSE,NSE,130301188,508989,NAVNETEDUL,0.0,,0.0,0.05,1,EQ,BSE,BSE
593665,2319,NCC,NCC,0.0,,0.0,0.05,1,EQ,NSE,NSE,128075268,500294,NCC,0.0,,0.0,0.05,1,EQ,BSE,BSE
3053313,11927,NECLIFE,NECTAR LIFESCIENCES.,0.0,,0.0,0.05,1,EQ,NSE,NSE,136358148,532649,NECLIFE,0.0,,0.0,0.05,1,EQ,BSE,BSE
3944705,15409,NESCO,NESCO.,0.0,,0.0,0.05,1,EQ,NSE,NSE,129370884,505355,NESCO,0.0,,0.0,0.05,1,EQ,BSE,BSE
