Security Code,Issuer Name,Security Id,Security Name,Status,Group,Face Value,ISIN No,Industry,Instrument,SYMBOL,NAME OF COMPANY, SERIES, DATE OF LISTING, PAID UP VALUE, MARKET LOT, FACE VALUE
504973,,CHOLAHLDNG,Cholamandalam Financial Holdings Ltd,Active,A ,1.0,INE149A01033,Holding Companies,Equity,CHOLAHLDNG,Cholamandalam Financial Holdings Limited,EQ,25-SEP-2017,1,1,1
505010,,AUTOAXLES,AUTOMOTIVE AXLES LTD.,Active,A ,10.0,INE449A01011,Auto Parts & Equipment,Equity,AUTOAXLES,Automotive Axles Limited,EQ,29-MAY-2003,10,1,10
505075,,SETCO,SETCO AUTOMOTIVE LTD.,Active,B ,2.0,INE878E01021,Auto Parts & Equipment,Equity,SETCO,Setco Automotive Limited,EQ,01-JUL-2016,2,1,2
505160,,TALBROAUTO,TALBROS AUTOMOTIVE COMPONENTS LTD.,Active,B ,10.0,INE187D01011,Auto Parts & Equipment,Equity,TALBROAUTO,Talbros Automotive Components Limited,EQ,29-SEP-2006,10,1,10
505192,,SMLISUZU,SML ISUZU LIMITED,Active,A ,10.0,INE294B01019,Commercial Vehicles,Equity,SMLISUZU,SML Isuzu Limited,EQ,29-AUG-2003,10,1,10
505196,,TIL,TIL LTD.,Active,T ,10.0,INE806C01018,Transport Related Services,Equity,TIL,TIL Limited,BE,27-SEP-1995,10,1,10
505200,,EICHERMOT,EICHER MOTORS LTD.,Active,A ,1.0,INE066A01021,2/3 Wheelers,Equity,EICHERMOT,Eicher Motors Limited,EQ,07-SEP-2004,1,1,1
505242,,DYNAMATECH,DYNAMATIC TECHNOLOGIES LTD.-$,Active,B ,10.0,INE221B01012,Industrial Machinery,Equity,DYNAMATECH,Dynamatic Technologies Limited,EQ,14-SEP-2006,10,1,10
505255,,GMM,GMM PFAUDLER LTD.,Active,A ,2.0,INE541A01023,Industrial Machinery,Equity,GMMPFAUDLR,GMM Pfaudler Limited,EQ,05-MAR-2018,2,1,2
505324,,MANUGRAPH,MANUGRAPH INDIA LTD.-$,Active,B ,2.0,INE867A01022,Industrial Machinery,Equity,MANUGRAPH,Manugraph India Limited,EQ,14-SEP-2006,2,1,2
505355,,NESCO,NESCO LTD.,Active,A ,2.0,INE317F01035,Misc.Commercial Services,Equity,NESCO,Nesco Limited,EQ,08-APR-2008,2,1,2
505368,,REVATHI,REVATHI EQUIPMENT LTD.-$,Active,B ,10.0,INE617A01013,Industrial Machinery,Equity,REVATHI,Revathi Equipment Limited,EQ,11-AUG-2005,10,1,10
